Name	SRR24466374	SRR24466375	SRR24466376	SRR24466377	SRR24466378	SRR24466379	SRR24466380	SRR24466381	SRR24466382	SRR24466383	SRR24466384	SRR24466385	SRR24466386	SRR24466387	SRR24466388	SRR24466389	SRR24466390	SRR24466391
Q0255	0	0.031532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0160	0.302287	0.496735	0.276992	0.544148	0.685587	0.525191	0.311824	0.316558	1.1674	0.074854	0.160154	0.382973	0.758255	0.241661	0.138147	0	0.51105	0.361495
Q0140	0	0.038151	0.02896	0	0.028458	0.068535	0	0.055962	0.036576	0.039448	0	0.028679	0	0.025729	0	0	0.090749	0.031454
Q0115	0	0	0	0.127877	0.10299	0.056594	0	0.093236	0.060653	0	0.018009	0.071715	0	0.021327	0	0	0.050931	0.028383
Q0085	0.321796	0.125972	0.683676	0.480494	0.468519	0.636339	0.550904	0.186697	1.15546	0.19835	0.176337	0.627386	1.02895	0.085593	0.202627	0.053367	0.251443	0.265463
Q0080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0075	0	0.043592	0.033242	0.098526	0.129986	0.078689	0.113066	0.032044	0.171111	0	0.023964	0.06581	0.040821	0	0	0	0.034616	0
Q0045	0.858019	2.06533	1.1159	1.72597	1.8643	1.12976	0.867598	0.710398	2.28453	0.558936	0.307457	1.11947	2.23165	0.957145	0.482139	0.17732	0.675507	0.858717
Q0070	0.033548	0.03473	0.030685	0.177108	0.060335	0.031292	0.104187	0	0	0	0.021072	0.100395	0.212812	0.051598	0	0.03446	0.06633	0
Q0065	0.078635	0.215331	0.154707	0.627745	0.504938	0.308093	0.196992	0	0.238227	0.18132	0.023941	0.340355	0.549504	0.188184	0.068149	0.037988	0.329148	0.02818
Q0060	0.095252	0.110233	0.115835	0.195836	0.142883	0.248637	0.164216	0.055545	0.406946	0.076635	0.059621	0.085519	0.276995	0.024736	0.069382	0.015024	0.215877	0.091209
Q0055	1.05941	1.50476	0.87677	2.15916	1.84748	1.51432	1.0314	0.990277	2.73708	0.772545	0.222964	1.56055	2.92411	0.661918	0.657984	0.305421	1.0979	0.800213
YPR202W	11.9992	19.5881	15.1072	8.14563	6.5591	25.2906	7.22237	6.55412	6.25695	17.4018	14.5859	14.8966	21.8574	2.88186	6.85534	14.4987	23.9694	20.784
YPR201W	1.59431	2.81342	1.50838	1.12609	1.42717	2.52561	1.84203	1.76044	2.22935	1.89989	2.09196	2.14206	3.20614	0.859983	1.4582	1.86292	3.30094	1.99101
YPR200C	38.586	32.1297	34.2281	39.3624	60.7525	31.9191	39.845	33.7534	58.4136	35.4443	31.6585	39.908	30.7495	42.1855	25.8316	21.8036	42.922	27.3955
YPR199C	17.6378	23.5403	15.2935	14.3664	10.557	28.5985	16.3845	19.1377	14.0717	25.7813	26.8288	19.4383	33.8211	7.81097	22.2128	32.2562	27.1526	34.1454
YPR196W	4.31926	5.99736	4.15682	3.29756	2.34584	6.25002	3.48684	3.48728	2.44121	5.40561	4.35433	4.65218	3.91401	1.73307	4.08582	4.37784	4.43537	5.20641
YPR191W	34.179	55.4193	30.2676	34.2767	24.3765	47.425	38.5354	48.3015	50.383	58.3247	81.2047	37.6545	97.1372	20.504	49.427	96.4109	71.7128	85.2319
YPR189W	9.61196	10.8838	6.82609	8.29968	10.2203	8.27742	6.10863	7.73682	10.517	8.19444	7.33116	7.31534	8.28754	6.73933	12.7059	10.7125	9.60699	9.67293
YPR187W	424.017	252.732	407.836	373.499	441.92	302.638	283.68	281.783	372.046	319.219	250.732	276.656	214.903	479.851	591.677	327.813	243.103	322.568
YPR186C	5.5433	8.31088	5.97373	4.75601	4.36985	7.60159	5.09823	5.4713	3.72851	6.36991	4.89591	5.12826	5.65048	3.24514	6.2002	6.01558	5.5006	5.53593
YPR185W	18.2788	26.9942	17.3861	14.1062	15.9107	20.9048	15.8914	19.6189	17.2981	17.4747	21.4942	18.9704	23.3545	9.74204	18.6973	19.7152	22.6256	22.118
YPR184W	3.09257	5.12506	1.61779	2.14826	7.71177	4.3926	2.94578	6.38909	24.4266	3.03918	6.12651	1.91772	7.77066	2.36477	1.90686	4.94069	13.2145	4.5984
YPR180W	20.0283	25.1118	17.9516	16.9476	24.4033	23.5283	17.2882	22.0096	27.7179	24.5393	32.4795	18.9365	32.372	17.6615	26.2152	33.1037	32.7045	30.4623
YPR179C	15.0945	22.7488	12.7243	11.5793	19.292	16.842	10.1483	17.4753	20.2157	16.4731	19.9646	15.3634	20.2829	14.9882	20.5765	19.6918	25.179	22.8241
YPR178W	4.57627	9.48912	4.89173	4.19573	4.5466	9.10751	4.95517	6.98924	5.92155	7.72837	10.9616	6.04478	11.7991	2.8918	6.26971	10.1589	10.1757	10.358
YPR176C	64.4201	68.5627	64.6309	65.8375	103.832	60.2723	64.5638	70.885	96.1312	65.8669	72.6945	68.2783	79.8918	52.9708	44.7899	49.0512	74.7246	65.6048
YPR174C	9.9263	13.2556	10.4083	7.60731	5.91834	24.899	11.4876	13.6475	6.53556	10.3815	15.0198	10.2129	16.2767	2.97976	9.76387	17.4688	10.3782	12.1626
YPR173C	36.4028	49.7395	34.2469	30.3324	22.7119	56.2287	34.4126	37.0161	26.9098	43.873	45.9793	38.4154	48.3761	15.8998	43.7994	46.1818	40.3899	44.6492
YPR170W-B	363.745	538.112	498.701	498.324	296.144	812.521	536.787	546.953	361.867	692.294	895.745	522.638	872.639	297.496	598.959	878.839	633.366	709.012
YPR167C	82.5154	92.3647	58.0685	66.9853	25.2062	81.622	55.4934	47.4739	35.0592	123.822	85.4187	76.4953	103.969	25.3927	118.099	154.52	49.1184	97.4369
YPR166C	332.872	225.889	267.152	332.763	549.421	188.125	282.099	291.676	472.692	298.527	260.016	248.859	271.353	437.851	343.706	324.755	313.521	273.661
YPR165W	295.984	205.858	209.216	318.626	298.132	209.128	284.453	258.799	349.924	236.518	242.766	178.099	312.119	189.615	409.235	421.341	193.959	286.167
YPR163C	69.9905	83.0655	79.6623	62.8321	31.482	96.3492	56.134	59.8249	47.9231	92.6463	68.8621	85.6779	82.3492	28.8378	132.941	107.827	51.7393	126.234
YPR162C	6.80468	11.8768	6.93451	5.0621	4.90222	10.8563	5.49009	7.8005	6.19515	10.9187	8.95168	7.15727	11.891	3.17908	9.55538	11.7569	12.227	14.5214
YPR161C	6.27461	9.5448	6.14841	4.85405	3.84581	10.0027	5.3882	6.92218	5.7719	9.41432	8.82716	7.25112	10.7965	2.87831	8.72394	11.8154	8.35019	10.9252
YPR160W	9.1557	21.4016	2.66707	6.04458	31.2229	9.6401	7.50551	41.8576	83.8239	12.1604	55.055	6.80054	74.9141	25.0271	9.43495	51.2685	89.1834	32.5736
YPR159C-A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YPR158C-C	0	7.80955	1.31408	0	0	0	0	0	0	4.60638	3.16655	0	15.4295	0	0	8.77844	6.50661	11.471
YPR158C-D	24.1875	45.281	31.9629	14.726	13.675	39.9252	15.4382	24.5455	14.816	27.3283	46.9763	42.7832	36.2436	13.1693	34.9438	34.2649	46.7543	32.9401
YPR158W-B	2.86589	5.70262	2.54933	1.49757	1.66114	9.45232	2.4404	2.99857	2.0239	2.6858	3.14748	1.97293	3.08722	1.18988	1.72328	1.93896	4.13282	2.53952
YPR158W	158.427	116.371	56.2635	159.24	43.6823	69.6338	137.514	88.3396	53.9609	311.665	121.664	102.707	321.508	25.3828	166.959	335.734	66.8013	173.341
YPR157W	11.576	22.9721	29.1887	7.37612	5.64448	15.448	7.58858	9.17295	3.75962	7.55953	8.64225	21.6514	7.65085	2.96386	11.0075	6.45122	9.31925	10.072
YPR156C	67.0665	119.816	79.9548	52.8745	31.9825	106.827	61.64	73.2167	33.4734	59.9957	54.8154	82.2704	70.7215	15.6191	60.0167	49.0245	49.0667	54.4171
YPR154W	49.5092	117.335	38.9229	84.2227	53.8405	158.864	124.554	175.8	72.6461	79.3214	119.166	37.6789	233.371	23.131	62.8985	217.116	79.8735	67.0302
YPR153W	5.35899	8.96198	7.09929	3.08746	1.99269	10.2638	6.79185	3.05188	3.51275	5.64709	6.47435	7.54516	9.59348	3.16886	6.47962	6.40365	7.3167	9.53712
YPR152C	5.66586	8.68767	4.38206	6.16174	3.0869	8.47738	9.72016	5.93376	4.29542	8.65313	7.02607	5.42111	11.09	1.87751	6.53105	10.237	6.49618	9.20395
YPR149W	961.744	1450.46	864.107	801.918	547.365	787.903	994.733	897.273	888.808	1682.15	1813.96	1247.15	2824.75	407.781	1013.92	1874.49	1369.72	1823.83
YPR147C	32.1186	67.9281	39.7694	31.8234	40.2555	69.0119	35.3178	57.6479	45.8157	50.1765	63.4241	43.2394	60.475	30.2984	57.2413	45.5672	68.5306	49.6094
YPR145W	122.344	147.248	187.616	91.3902	36.1196	174.845	89.2506	60.8198	43.0095	150.947	131.76	187.311	141.699	38.1173	222.577	175.945	101.028	229.649
YPR144C	4.10457	6.55824	5.51173	4.00258	1.09075	9.63122	3.56809	3.35297	2.58797	6.07998	3.59161	5.16379	5.83653	1.23128	6.72575	6.051	1.9726	8.88442
YPR143W	60.1477	50.0417	73.8469	59.4004	52.8423	66.5162	48.0471	45.226	45.6851	43.8368	29.9658	56.6031	27.3371	29.8263	51.8208	30.5166	30.6322	50.9118
YPR141C	6.64846	7.73266	5.23577	5.19814	4.25053	7.14735	4.62958	4.38257	4.27856	6.3014	4.80979	5.90935	6.14502	1.87392	6.08108	6.5798	4.92029	7.18319
YPR140W	14.4831	17.0356	9.48135	10.8482	9.44626	12.9962	12.5565	14.0933	14.0728	19.7103	18.8967	11.7989	23.964	6.32931	14.4503	20.707	19.4979	21.6906
YPR138C	17.7762	23.168	17.1286	18.8469	6.63325	19.4204	21.3977	17.5099	11.9799	24.498	26.0065	22.7727	27.5483	8.79337	18.3435	20.3663	28.8852	25.7065
YPR137C-B	9.17665	26.2501	24.3349	3.75833	1.41741	28.0529	2.14463	9.17855	3.40497	13.7366	38.7669	25.554	26.8014	2.11995	22.0508	27.2448	21.9404	24.4082
YPR137W	5.11016	9.58597	5.05547	3.74064	1.48548	12.1479	3.75105	5.2591	2.07017	6.56681	5.36133	4.17671	4.45394	1.83278	5.72512	5.66579	2.43741	6.79744
YPR135W	3.35372	5.84325	3.22378	3.15254	3.4572	5.97679	3.48969	4.556	4.1999	3.96809	4.26804	3.6409	5.05508	2.06425	3.46511	4.74606	4.30332	5.11677
YPR134W	19.2955	18.9777	16.9238	17.5835	34.7617	20.4911	14.7789	20.3562	30.497	16.6595	21.6962	13.1719	22.0523	25.2288	23.6972	21.3606	22.6153	19.3742
YPR132W	6824.63	3570.78	7205.23	5778.9	5785.68	3971.83	4861.07	3698.3	4808.45	4491.77	3088.43	4714.76	3184.53	5272.18	7525.28	4570.01	2573.45	3986.18
YPR131C	23.4306	36.5171	24.4833	25.0322	20.0766	40.5774	21.5099	28.2446	26.0781	31.6776	32.4419	24.4245	40.1839	14.4173	33.6054	42.4649	34.5861	43.8329
YPR129W	29.5047	47.8941	24.6008	26.8411	18.199	45.9186	26.7856	38.3806	25.1925	46.7691	54.9965	31.5244	53.4029	11.7656	33.3356	51.31	46.5256	52.8088
