gene_id	gene_name	ada_car_d43	ada_car_d48	car_d43	car_d48
ENSG00000000003	TSPAN6	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0
ENSG00000000419	DPM1	38.575232	36.893488	85.582093	58.399814
ENSG00000000457	SCYL3	8.881511	10.178072	8.014066	8.207445
ENSG00000000460	FIRRM	12.032208	12.636945	21.407123	21.200996
ENSG00000000938	FGR	0.768465	0.336872	0.024496	0.340151
ENSG00000000971	CFH	0.19745	0.615211	7.898411	1.107814
ENSG00000001036	FUCA2	18.527011	19.579833	20.324171	15.102394
ENSG00000001084	GCLC	26.335935	20.581922	20.049042	16.520336
ENSG00000001167	NFYA	17.911454	15.309707	16.435535	17.090483
ENSG00000001460	STPG1	2.535242	2.426075	3.787795	2.787826
ENSG00000001461	NIPAL3	22.153406	21.33174	16.403383	23.222367
ENSG00000001497	LAS1L	28.366587	24.955106	45.021684	38.971869
ENSG00000001561	ENPP4	2.815254	2.104476	4.870127	4.428259
ENSG00000001617	SEMA3F	0.029725	0.150779	0.071297	0.219447
ENSG00000001626	CFTR	0	0	0	0
ENSG00000001629	ANKIB1	28.114808	24.541996	30.411498	27.230879
ENSG00000001630	CYP51A1	21.666697	20.474157	27.91035	28.923679
ENSG00000001631	KRIT1	14.818742	15.560327	15.381272	15.386411
ENSG00000002016	RAD52	8.961166	13.628472	6.621262	8.622434
ENSG00000002079	MYH16	0	0	0	0
ENSG00000002330	BAD	38.74823	44.501169	47.973984	43.274579
ENSG00000002549	LAP3	104.178357	83.289512	355.164446	170.392241
ENSG00000002586	CD99	380.966827	338.158187	332.891707	410.610452
ENSG00000002587	HS3ST1	0.044596	0.073528	0.402663	0.200512
ENSG00000002726	AOC1	0	0	0	0
ENSG00000002745	WNT16	0.10626	0.07008	0.088691	0.166181
ENSG00000002746	HECW1	0.008949	0	0	0.026183
ENSG00000002822	MAD1L1	53.104572	52.525976	22.917604	26.857603
ENSG00000002834	LASP1	133.758885	135.70365	124.769847	144.768639
ENSG00000002919	SNX11	11.618215	18.931684	27.784906	21.698487
ENSG00000002933	TMEM176A	0	0	0.133612	0
ENSG00000003056	M6PR	129.051213	119.432471	120.945159	105.984863
ENSG00000003096	KLHL13	0.216098	0.15212	2.845661	0.320643
ENSG00000003137	CYP26B1	0	0	0	0
ENSG00000003147	ICA1	0.715887	5.453283	1.706934	7.47279
ENSG00000003249	DBNDD1	0.647807	0.457584	0.032292	0.313078
ENSG00000003393	ALS2	5.8084	8.092203	4.476879	5.004761
ENSG00000003400	CASP10	15.482753	16.000892	19.140291	20.581458
ENSG00000003402	CFLAR	92.812785	114.910533	194.917281	185.476909
ENSG00000003436	TFPI	0.554722	0.312714	0.496276	0.488922
ENSG00000003509	NDUFAF7	14.96448	15.688801	17.639994	14.993781
ENSG00000003756	RBM5	90.520467	107.567934	82.425837	76.730174
ENSG00000003987	MTMR7	0.546497	0.54973	0.30411	0.54697
ENSG00000003989	SLC7A2	0	0	0.050831	0
ENSG00000004059	ARF5	132.537151	136.93792	114.483694	119.376278
ENSG00000004139	SARM1	15.328169	11.309965	14.785074	11.164666
ENSG00000004142	POLDIP2	37.552979	39.730393	76.541038	49.478334
ENSG00000004399	PLXND1	2.35238	3.54094	0	0.641938
ENSG00000004455	AK2	147.752265	125.386167	332.442062	344.084284
ENSG00000004468	CD38	85.75515	85.756584	123.081745	90.990825
ENSG00000004478	FKBP4	28.192036	26.880748	68.552936	53.405979
ENSG00000004487	KDM1A	35.839224	39.566829	41.78729	43.688597
ENSG00000004534	RBM6	73.712837	74.857974	56.59187	64.213807
ENSG00000004660	CAMKK1	2.702555	2.069835	0.709991	1.089928
ENSG00000004700	RECQL	53.291871	56.922185	93.045785	79.162009
ENSG00000004766	VPS50	7.787092	10.650225	10.866408	7.068804
ENSG00000004776	HSPB6	0.286478	0.209951	0.297591	1.255874
ENSG00000004777	ARHGAP33	63.598793	39.345121	17.496398	52.285672
ENSG00000004779	NDUFAB1	66.285127	66.91813	185.93056	134.951872
ENSG00000004799	PDK4	0	0.298871	0	0
ENSG00000004809	SLC22A16	0	0	0	0
ENSG00000004838	ZMYND10	4.378701	3.149845	0.8129	1.821463
ENSG00000004846	ABCB5	0	0	0	0
ENSG00000004848	ARX	0	0	0	0
ENSG00000004864	SLC25A13	5.695391	9.389097	13.440557	7.608577
ENSG00000004866	ST7	0.875582	1.452788	5.236915	3.150213
ENSG00000004897	CDC27	49.43665	42.317749	72.45949	67.810756
ENSG00000004939	SLC4A1	0	0.028188	0	0.01671
ENSG00000004948	CALCR	0	0	0	0
